iter	RMSE
0	92705.08431
1	89821.6725
2	87350.13281
3	84980.83424
4	82703.50485
5	80696.00388
6	78846.08371
7	77079.38965
8	75505.91064
9	74016.03478
10	72662.66088
11	71330.85715
12	70207.66333
13	69203.27107
14	68249.96958
15	67408.7291
16	66590.18399
17	65890.10277
18	65245.66489
19	64589.01155
20	63950.45529
21	63415.48372
22	62948.69211
23	62410.37805
24	61952.22291
25	61508.46902
26	61130.30453
27	60763.13572
28	60400.37098
29	60041.41085
30	59638.69472
31	59327.73757
32	59075.0181
33	58789.07076
34	58587.03815
35	58336.57029
36	57994.39021
37	57732.78941
38	57445.93461
39	57115.14338
40	56906.08875
41	56726.11742
42	56418.4318
43	56104.43989
44	55862.07744
45	55674.06416
46	55498.52766
47	55344.44768
48	55196.68559
49	55063.91318
50	54865.31003
51	54633.46448
52	54492.39572
53	54185.75824
54	54019.91331
55	53902.2493
56	53820.77892
57	53635.96556
58	53548.19096
59	53427.16618
60	53281.58663
61	53166.48259
62	53044.55239
63	52837.02981
64	52692.57973
65	52594.27277
66	52478.62141
67	52377.11144
68	52244.10531
69	52164.44219
70	52036.21489
71	51934.50761
72	51777.8274
73	51705.52794
74	51624.88998
75	51515.67446
76	51457.80632
77	51294.89325
78	51215.62534
79	51118.14014
80	51012.60237
81	50914.89601
82	50800.8882
83	50730.65633
84	50530.47472
85	50467.36234
86	50371.85175
87	50304.35592
88	50201.37227
89	50146.70074
90	49959.50367
91	49900.0737
92	49736.06745
93	49653.71118
94	49584.39992
95	49537.38845
96	49481.87976
97	49407.94059
98	49374.52468
99	49334.06478
100	49243.87828
101	49166.76697
102	49045.86458
103	49002.59488
104	48964.09208
105	48901.88497
106	48818.51361
107	48751.64585
108	48705.4756
109	48679.87239
110	48633.62796
111	48554.15032
112	48508.8103
113	48467.10299
114	48320.65831
115	48267.95931
116	48211.89112
117	48142.90091
118	48084.44324
119	48034.54464
120	47985.31003
121	47959.51893
122	47901.89108
123	47836.91687
124	47802.03869
125	47689.11755
126	47635.91532
127	47568.08089
128	47530.62159
129	47432.40988
130	47382.52318
131	47349.74481
132	47304.5146
133	47211.49474
134	47138.1662
135	47075.93535
136	47016.65671
137	46915.18733
138	46881.05172
139	46816.07907
140	46749.63613
141	46710.61557
142	46665.7855
143	46619.06512
144	46562.43962
145	46498.4447
146	46454.46687
147	46392.57286
148	46349.59319
149	46300.67519
150	46228.91568
151	46194.51062
152	46158.4087
153	46099.31749
154	46057.83603
155	46018.6786
156	45998.60077
157	45957.03002
158	45932.16845
159	45900.22888
160	45846.11781
161	45803.60945
162	45771.01745
163	45711.08732
164	45667.24966
165	45610.2482
166	45588.19425
167	45495.11024
168	45465.43912
169	45437.59961
170	45392.25627
171	45345.28419
172	45301.45257
173	45234.01267
174	45198.66532
175	45165.68058
176	45119.92101
177	45075.05059
178	45036.00435
179	44982.39984
180	44945.72356
181	44923.34201
182	44880.58426
183	44843.29794
184	44790.32331
185	44751.78724
186	44727.7348
187	44646.33687
188	44583.26211
189	44561.26572
190	44529.10387
191	44472.02683
192	44428.43523
193	44388.74746
194	44313.18551
195	44275.6599
196	44249.66093
197	44222.52856
198	44191.68943
199	44165.49489
200	44128.92786
201	44097.73206
202	44059.77751
203	44031.94064
204	43994.94081
205	43947.16921
206	43904.04446
207	43873.02082
208	43824.70243
209	43767.15261
210	43739.14933
211	43701.21083
212	43638.20529
213	43611.58645
214	43537.5618
215	43504.2493
216	43467.95027
217	43418.39495
218	43400.08124
219	43360.61647
220	43312.99643
221	43285.98083
222	43252.02998
223	43188.59734
224	43141.02613
225	43102.37883
226	43073.5039
227	43045.84953
228	43021.13456
229	42989.44108
230	42967.11762
231	42918.65517
232	42874.22545
233	42852.78608
234	42817.92559
235	42764.91282
236	42745.81503
237	42723.18816
238	42690.22411
239	42646.76195
240	42611.13364
241	42578.39014
242	42549.53669
243	42526.98663
244	42500.22078
245	42472.90274
246	42456.21096
247	42409.23383
248	42367.55976
249	42340.36814
250	42306.42797
251	42263.18318
252	42235.8834
253	42196.35728
254	42166.00986
255	42126.98549
256	42097.32271
257	42080.74904
258	42046.55316
259	42015.97183
260	41999.78727
261	41971.69554
262	41943.37005
263	41915.84288
264	41880.93675
265	41865.8865
266	41834.04972
267	41798.16439
268	41759.80656
269	41739.82644
270	41718.60665
271	41689.49331
272	41664.85252
273	41638.34536
274	41605.00022
275	41564.89855
276	41548.561
277	41523.41761
278	41481.69752
279	41452.71125
280	41440.14915
281	41412.60521
282	41375.85965
283	41343.12289
284	41314.96127
285	41295.24483
286	41268.73103
287	41242.84134
288	41226.63023
289	41197.78815
290	41165.372
291	41141.68789
292	41103.64231
293	41083.58331
294	41064.7933
295	41010.74614
296	40983.08187
297	40952.75662
298	40930.23933
299	40910.23059
300	40885.29214
301	40863.48558
302	40822.19746
303	40791.06917
304	40764.33811
305	40726.25156
306	40710.77959
307	40696.02143
308	40672.39171
309	40626.26977
310	40598.18972
311	40572.85661
312	40540.72583
313	40517.0187
314	40501.21351
315	40481.52387
316	40450.81924
317	40421.52672
318	40400.12191
319	40371.24864
320	40347.22294
321	40296.90333
322	40274.64229
323	40243.02022
324	40230.38339
325	40217.30753
326	40176.00885
327	40156.5282
328	40136.35494
329	40118.89365
330	40100.97682
331	40070.11203
332	40049.22449
333	40030.57024
334	40007.43985
335	39996.30553
336	39971.02688
337	39956.29043
338	39918.89223
339	39900.89058
340	39859.96861
341	39840.72239
342	39823.13131
343	39799.19432
344	39761.04926
345	39743.94937
346	39725.10378
347	39709.03482
348	39685.80755
349	39657.43975
350	39644.8615
351	39620.86525
352	39601.61609
353	39588.882
354	39564.41034
355	39547.6769
356	39523.85907
357	39499.58445
358	39478.03843
359	39448.30803
360	39423.07453
361	39400.30919
362	39374.64112
363	39344.96298
364	39327.28194
365	39309.7368
366	39293.25088
367	39274.90663
368	39239.38224
369	39227.03572
370	39211.14581
371	39187.97741
372	39165.52527
373	39137.54513
374	39113.50171
375	39081.58077
376	39059.68008
377	39034.34422
378	39018.01045
379	39003.286
380	38984.4747
381	38971.01796
382	38958.61597
383	38930.35457
384	38904.62162
385	38893.20202
386	38876.20086
387	38847.0367
388	38813.40234
389	38802.30597
390	38782.74116
391	38748.48542
392	38731.99995
393	38708.79108
394	38694.90153
395	38672.80487
396	38660.56423
397	38638.86483
398	38621.98409
399	38606.7488
400	38584.98099
401	38559.82915
402	38530.89476
403	38502.60392
404	38489.23207
405	38475.92642
406	38456.42164
407	38429.86399
408	38405.7073
409	38389.81937
410	38367.36123
411	38343.7514
412	38320.21628
413	38300.69927
414	38284.68204
415	38266.56745
416	38250.53574
417	38239.60532
418	38226.19396
419	38209.06457
420	38188.98337
421	38171.39461
422	38159.05931
423	38136.72795
424	38124.78451
425	38106.84483
426	38085.84529
427	38071.09095
428	38045.46955
429	38036.05139
430	38021.85642
431	38013.52819
432	37994.40752
433	37986.27767
434	37973.60036
435	37965.3673
436	37942.43402
437	37925.90046
438	37910.44487
439	37899.18179
440	37871.72285
441	37859.54537
442	37826.0329
443	37808.11639
444	37796.26456
445	37780.98306
446	37761.6426
447	37743.4219
448	37726.34567
449	37712.08375
450	37691.786
451	37683.00566
452	37652.58121
453	37634.79034
454	37610.35501
455	37603.11425
456	37596.38021
457	37580.94895
458	37561.90232
459	37543.51082
460	37536.30918
461	37523.31398
462	37502.8697
463	37496.17761
464	37482.13176
465	37472.81223
466	37446.63425
467	37429.81354
468	37411.84144
469	37398.17427
470	37387.6598
471	37366.55022
472	37344.53448
473	37332.42582
474	37310.71437
475	37296.97849
476	37278.67558
477	37255.0495
478	37237.45395
479	37224.82071
480	37204.08515
481	37169.40822
482	37153.81285
483	37138.37332
484	37122.88868
485	37111.84378
486	37096.53182
487	37079.39497
488	37068.30166
489	37061.3778
490	37042.67414
491	37017.11759
492	37003.99524
493	36987.94917
494	36976.26092
495	36962.46009
496	36950.64385
497	36931.33786
498	36912.7437
499	36905.05465
500	36890.14
501	36870.96098
502	36854.93809
503	36846.34361
504	36834.37797
505	36818.48687
506	36810.82808
507	36793.40649
508	36773.21529
509	36759.27952
510	36752.12625
511	36737.1508
512	36725.6411
513	36713.21126
514	36703.97757
515	36696.97883
516	36690.82367
517	36682.11499
518	36669.81767
519	36655.66765
520	36638.86598
521	36614.40348
522	36601.50718
523	36580.92167
524	36559.64879
525	36550.81609
526	36540.10133
527	36528.26884
528	36515.88052
529	36502.41603
530	36496.37745
531	36478.38963
532	36464.09419
533	36443.73893
534	36432.13914
535	36420.72541
536	36413.03485
537	36401.23673
538	36388.13725
539	36369.51011
540	36359.29721
541	36347.17935
542	36337.3102
543	36323.69161
544	36306.06816
545	36292.13123
546	36275.49595
547	36260.61602
548	36244.26869
549	36226.51641
550	36220.59511
551	36205.88316
552	36191.16995
553	36184.11417
554	36176.18723
555	36154.22456
556	36141.6583
557	36129.10335
558	36108.72252
559	36099.59216
560	36088.74688
561	36076.49252
562	36065.54
563	36049.17911
564	36039.2899
565	36027.66594
566	36017.19284
567	36010.03323
568	35993.88839
569	35985.23197
570	35970.15909
571	35958.08959
572	35946.17874
573	35938.72594
574	35919.47525
575	35904.44641
576	35889.57566
577	35883.12609
578	35876.31661
579	35860.04189
580	35853.53267
581	35837.0729
582	35822.69767
583	35796.99508
584	35782.98513
585	35772.52368
586	35756.25495
587	35745.96121
588	35734.96839
589	35719.10202
590	35706.30785
591	35697.17931
592	35669.51882
593	35653.66495
594	35641.44418
595	35627.2397
596	35604.07421
597	35596.94154
598	35578.0981
599	35564.19684
600	35549.84628
601	35543.84374
602	35530.90472
603	35516.71329
604	35502.80642
605	35489.44659
606	35481.41162
607	35468.35487
608	35457.45268
609	35449.8902
610	35428.76029
611	35405.65705
612	35391.74728
613	35376.00153
614	35359.50739
615	35351.97273
616	35339.23718
617	35325.69033
618	35312.98977
619	35298.06029
620	35292.18929
621	35278.99907
622	35268.48077
623	35254.24986
624	35238.12168
625	35227.11089
626	35217.29038
627	35204.26135
628	35190.31112
629	35173.49628
630	35153.49055
631	35144.4062
632	35128.95751
633	35119.86785
634	35105.54262
635	35096.72841
636	35083.26961
637	35071.28355
638	35061.9998
639	35052.99
640	35037.90539
641	35019.87545
642	35003.40164
643	34992.68889
644	34983.65247
645	34967.05205
646	34958.7295
647	34946.30026
648	34935.39576
649	34928.81002
650	34921.2762
651	34908.84063
652	34887.4747
653	34874.70902
654	34864.88763
655	34855.79561
656	34843.27713
657	34832.45167
658	34821.0717
659	34815.77705
660	34805.76925
661	34796.81708
662	34783.62029
663	34774.04581
664	34757.93669
665	34744.73056
666	34727.42966
667	34709.74878
668	34693.80578
669	34683.9103
670	34673.91979
671	34659.20164
672	34651.38257
673	34638.73421
674	34626.20492
675	34604.1971
676	34580.5125
677	34573.56596
678	34565.36465
679	34553.00003
680	34545.00681
681	34532.44851
682	34517.54265
683	34511.17386
684	34491.55018
685	34481.29169
686	34463.49289
687	34453.23271
688	34438.36456
689	34427.96586
690	34413.89271
691	34401.38843
692	34390.66245
693	34383.03404
694	34364.97846
695	34354.10798
696	34340.80355
697	34323.75562
698	34312.94851
699	34299.89434
700	34285.22402
701	34273.91285
702	34261.19062
703	34251.93136
704	34238.28213
705	34228.02074
706	34218.48611
707	34207.46917
708	34198.66188
709	34191.53999
710	34167.78507
711	34155.34129
712	34141.51144
713	34135.53515
714	34123.96441
715	34112.55162
716	34098.4642
717	34091.479
718	34082.05396
719	34066.2132
720	34054.67867
721	34044.52978
722	34031.08221
723	34025.95933
724	34015.75061
725	34005.5656
726	33988.31255
727	33982.24495
728	33969.66396
729	33954.31456
730	33943.82139
731	33933.21586
732	33927.05225
733	33924.52481
734	33914.91954
735	33908.96441
736	33897.02522
737	33882.36718
738	33874.3302
739	33860.89945
740	33855.10362
741	33847.89081
742	33840.0853
743	33829.99234
744	33819.18691
745	33803.86752
746	33792.61504
747	33786.6353
748	33776.2041
749	33770.14403
750	33764.17601
751	33749.41967
752	33739.95714
753	33723.17876
754	33716.69574
755	33699.33792
756	33686.05257
757	33680.26136
758	33670.44957
759	33658.98679
760	33654.95968
761	33644.44011
762	33637.14068
763	33626.84835
764	33611.96129
765	33605.09728
766	33581.69918
767	33572.24098
768	33567.28872
769	33553.14251
770	33538.33868
771	33527.24609
772	33516.41323
773	33504.71771
774	33500.1834
775	33493.43879
776	33478.81012
777	33467.75704
778	33454.03066
779	33439.93755
780	33429.73626
781	33417.55165
782	33406.43001
783	33389.14371
784	33375.6997
785	33363.60506
786	33348.45273
787	33329.4551
788	33315.40649
789	33306.24793
790	33294.03448
791	33287.43283
792	33279.06277
793	33264.95596
794	33257.35936
795	33246.4019
796	33232.99473
797	33220.96912
798	33215.53722
799	33205.45343
800	33197.19703
801	33187.36536
802	33171.53023
803	33165.63432
804	33151.87403
805	33135.09327
806	33125.62914
807	33116.10487
808	33105.70787
809	33093.2955
