iter	Passed	Remaining
0	5	7550
1	9	7121
2	14	7020
3	18	7098
4	24	7403
5	29	7381
6	34	7336
7	39	7418
8	44	7369
9	49	7309
10	54	7344
11	59	7383
12	65	7462
13	71	7546
14	75	7496
15	81	7524
16	86	7538
17	91	7550
18	96	7503
19	103	7664
20	108	7622
21	112	7563
22	117	7559
23	122	7555
24	127	7500
25	131	7465
26	138	7541
27	143	7523
28	147	7498
29	153	7499
30	158	7494
31	162	7456
32	167	7444
33	172	7417
34	177	7415
35	182	7429
36	187	7428
37	192	7409
38	197	7411
39	202	7384
40	206	7364
41	211	7351
42	217	7376
43	222	7363
44	227	7365
45	233	7371
46	237	7349
47	242	7324
48	247	7317
49	251	7306
50	256	7299
51	262	7310
52	267	7297
53	271	7277
54	276	7264
55	281	7264
56	286	7242
57	290	7227
58	295	7223
59	300	7211
60	305	7209
61	311	7214
62	317	7247
63	322	7241
64	327	7236
65	332	7227
66	337	7225
67	343	7230
68	348	7228
69	353	7211
70	358	7213
71	363	7201
72	368	7194
73	373	7187
74	379	7202
75	383	7184
76	388	7176
77	393	7178
78	398	7166
79	402	7152
80	408	7157
81	413	7148
82	418	7136
83	423	7139
84	428	7140
85	434	7146
86	439	7142
87	444	7134
88	449	7119
89	453	7102
90	458	7105
91	463	7097
92	469	7098
93	474	7095
94	478	7082
95	483	7064
96	488	7058
97	492	7050
98	497	7037
99	502	7032
100	507	7031
101	512	7020
102	517	7013
103	522	7011
104	526	6997
105	531	6985
106	536	6984
107	541	6977
108	546	6969
109	552	6978
110	556	6969
111	562	6966
112	567	6966
113	572	6958
114	577	6959
115	584	6976
116	589	6967
117	594	6959
118	598	6949
119	603	6944
120	608	6934
121	613	6925
122	619	6933
123	623	6921
124	628	6917
125	634	6923
126	639	6915
127	644	6903
128	648	6897
129	653	6884
130	658	6877
131	663	6874
132	668	6872
133	673	6867
134	678	6860
135	683	6855
136	687	6843
137	692	6831
138	698	6834
139	703	6832
140	708	6826
141	713	6823
142	718	6815
143	722	6803
144	727	6797
145	732	6789
146	736	6782
147	742	6780
148	747	6779
149	752	6770
150	756	6760
151	761	6757
152	766	6748
153	770	6737
154	776	6734
155	781	6734
156	786	6727
157	791	6726
158	796	6721
159	801	6713
160	806	6704
161	811	6706
162	816	6698
163	821	6695
164	827	6698
165	832	6687
166	836	6677
167	841	6673
168	846	6664
169	850	6656
170	855	6650
171	861	6653
172	866	6647
173	871	6642
174	876	6637
175	881	6631
176	885	6620
177	891	6618
178	895	6609
179	900	6604
180	906	6607
181	911	6601
182	916	6592
183	921	6591
184	926	6585
185	930	6575
186	935	6571
187	941	6568
188	945	6559
189	950	6552
190	956	6554
191	960	6546
192	965	6539
193	970	6535
194	975	6529
195	980	6521
196	985	6520
197	990	6514
198	995	6506
199	1000	6503
200	1005	6497
201	1009	6489
202	1014	6482
203	1020	6481
204	1025	6477
205	1030	6474
206	1036	6473
207	1041	6467
208	1046	6463
209	1051	6460
210	1056	6452
211	1061	6448
212	1066	6446
213	1071	6441
214	1076	6435
215	1081	6431
216	1086	6425
217	1091	6417
218	1095	6410
219	1102	6412
220	1107	6407
221	1111	6397
222	1115	6389
223	1120	6384
224	1125	6377
225	1129	6368
226	1134	6363
227	1140	6363
228	1145	6355
229	1150	6352
230	1155	6348
231	1161	6348
232	1166	6340
233	1172	6341
234	1176	6334
235	1181	6328
236	1186	6325
237	1192	6321
238	1196	6314
239	1201	6310
240	1206	6303
241	1211	6297
242	1216	6293
243	1221	6290
244	1226	6284
245	1231	6275
246	1236	6270
247	1240	6263
248	1245	6255
249	1251	6255
250	1255	6248
251	1260	6242
252	1265	6239
253	1271	6235
254	1275	6228
255	1280	6223
256	1286	6220
257	1290	6213
258	1295	6209
259	1300	6203
260	1305	6197
261	1310	6190
262	1315	6187
263	1320	6181
264	1324	6173
265	1329	6169
266	1334	6163
267	1339	6157
268	1344	6153
269	1349	6149
270	1354	6142
271	1358	6134
272	1364	6130
273	1369	6126
274	1373	6118
275	1379	6118
276	1384	6111
277	1388	6104
278	1393	6098
279	1398	6093
280	1403	6087
281	1407	6079
282	1413	6078
283	1417	6070
284	1423	6066
285	1428	6061
286	1432	6056
287	1437	6049
288	1442	6045
289	1447	6039
290	1452	6033
291	1457	6028
292	1462	6024
293	1467	6019
294	1472	6014
295	1477	6008
296	1482	6003
297	1486	5996
298	1492	5993
299	1497	5989
300	1501	5982
301	1507	5979
302	1512	5973
303	1516	5966
304	1521	5959
305	1525	5953
306	1530	5947
307	1535	5942
308	1540	5939
309	1545	5932
310	1550	5926
311	1555	5923
312	1560	5917
313	1564	5909
314	1570	5906
315	1576	5905
316	1581	5902
317	1586	5897
318	1591	5891
319	1596	5887
320	1601	5880
321	1606	5876
322	1610	5869
323	1615	5863
324	1621	5860
325	1625	5855
326	1630	5850
327	1636	5846
328	1640	5840
329	1645	5834
330	1650	5828
331	1655	5823
332	1659	5816
333	1664	5810
334	1669	5806
335	1674	5800
336	1679	5794
337	1684	5789
338	1689	5785
339	1693	5778
340	1698	5773
341	1703	5768
342	1707	5761
343	1712	5755
344	1718	5751
345	1722	5744
346	1726	5736
347	1732	5735
348	1737	5730
349	1742	5724
350	1747	5720
351	1752	5715
352	1756	5708
353	1761	5703
354	1766	5698
355	1770	5690
356	1775	5683
357	1780	5680
358	1785	5676
359	1790	5670
